T,case,bw_mult,share_2plus,share_1,mean_count,share_with_barrier,barrier_ratio_med,log10_dwell_med,true_log10_dwell_med,local_sd_over_series_sd
120,bistable 3SD,1.0,0.38333333333333336,0.6166666666666667,1.3833333333333333,0.38333333333333336,0.07665878116981593,1.5723430854048122,0.7781512503836436,0.9028923012066994
120,bistable 3SD,1.4,0.15,0.85,1.15,0.15,0.023272780203127844,2.0828939754314435,0.8123268683945036,1.0373960267837243
120,bistable 3SD,1.8,0.03333333333333333,0.9666666666666667,1.0333333333333334,0.05,0.05614176965672424,2.1871068813112724,0.7894322607933327,1.263579076914797
120,bistable 4SD,1.0,0.5166666666666667,0.48333333333333334,1.5166666666666666,0.5166666666666667,0.10448749908955586,1.6239837259404266,0.8239087409443188,0.7995745719059917
120,bistable 4SD,1.4,0.13333333333333333,0.8666666666666667,1.1333333333333333,0.13333333333333333,0.005190660700274027,2.1409284562876003,0.8487323246693509,1.0856935113513586
120,bistable 4SD,1.8,0.016666666666666666,0.9833333333333333,1.0166666666666666,0.016666666666666666,0.014265793836259817,2.2465680165471436,0.8487323246693509,1.2108423444260676
120,bistable 6SD,1.0,0.7666666666666667,0.23333333333333334,1.7833333333333334,0.7833333333333333,0.3780436157464757,1.678737222215343,0.965237893740788,0.6200502439741649
120,bistable 6SD,1.4,0.55,0.45,1.55,0.55,0.22761567473656955,1.7641262878073507,0.9030899869919435,0.8077347485777611
120,bistable 6SD,1.8,0.31666666666666665,0.6833333333333333,1.3166666666666667,0.31666666666666665,0.037754891131818825,2.0707227413472196,1.0377885608893997,1.006160179250693
120,"deep well 6SD (k=1, new)",1.0,0.13333333333333333,0.8666666666666667,1.1333333333333333,0.13333333333333333,0.47894902160632435,1.6753795705917165,0.3549053764468358,0.8131421494260682
120,"deep well 6SD (k=1, new)",1.4,0.05,0.95,1.05,0.06666666666666667,0.32696944554531493,1.7756735055316943,0.36741495535608026,0.903795941387196
120,"deep well 6SD (k=1, new)",1.8,0.016666666666666666,0.9833333333333333,1.0166666666666666,0.016666666666666666,0.6705062527501153,1.8757749250051043,0.3549053764468358,1.014888530709904
120,monostable,1.0,0.23333333333333334,0.7666666666666667,1.2333333333333334,0.23333333333333334,0.052969665758106424,1.9177586922483363,0.8487323246693509,0.8576865595397654
120,monostable,1.4,0.06666666666666667,0.9333333333333333,1.0666666666666667,0.08333333333333333,0.11151215759171641,2.3822632257276544,0.8750612633917001,1.0533035935512203
120,monostable,1.8,0.016666666666666666,0.9833333333333333,1.0166666666666666,0.05,0.5420936932144116,2.16824780135737,0.8487323246693509,1.272893126865423
120,"polarized (bimodal, monostable)",1.0,0.016666666666666666,0.9833333333333333,1.0166666666666666,0.016666666666666666,0.006879684167466271,2.156084230006596,0.9030899869919435,0.7351977520507427
120,"polarized (bimodal, monostable)",1.4,0.0,1.0,1.0,0.0,,,0.8893017025063102,0.8013121510562013
120,"polarized (bimodal, monostable)",1.8,0.0,1.0,1.0,0.0,,,0.9330532103693868,0.9465874450329432
150,bistable 2SD,1.0,0.25,0.75,1.25,0.25,0.07012345023527783,1.6017167044530904,0.7447274948966939,0.9510816143055366
150,bistable 2SD,1.4,0.06666666666666667,0.9333333333333333,1.0666666666666667,0.08333333333333333,0.00701354746192299,2.121280185735109,0.7369021573847373,1.0923761062259136
150,bistable 2SD,1.8,0.0,1.0,1.0,0.0,,,0.7447274948966939,1.3517392981453669
150,bistable 3SD,1.0,0.26666666666666666,0.7333333333333333,1.2666666666666666,0.26666666666666666,0.10651757431230496,1.5846632785072983,0.7781512503836436,0.8677346059120379
150,bistable 3SD,1.4,0.16666666666666666,0.8333333333333334,1.1666666666666667,0.16666666666666666,0.031931780266413155,1.8469006914832111,0.7958800173440752,1.0184566788169809
150,bistable 3SD,1.8,0.0,1.0,1.0,0.0,,,0.8143634230380883,1.2794283952134222
150,bistable 4SD,1.0,0.5,0.5,1.5,0.5166666666666667,0.10474275356360209,1.664371356687897,0.8438877434151612,0.8196479581937656
150,bistable 4SD,1.4,0.26666666666666666,0.7333333333333333,1.2666666666666666,0.2833333333333333,0.05244141780938603,1.8741595145869312,0.8336685782334751,1.0292554759129988
150,bistable 4SD,1.8,0.13333333333333333,0.8666666666666667,1.1333333333333333,0.13333333333333333,0.009936166455700309,2.325104998519348,0.8750612633917001,1.1920844117361757
150,bistable 6SD,1.0,0.7833333333333333,0.21666666666666667,1.7833333333333334,0.7833333333333333,0.3984822470303515,1.633396129060491,1.0,0.6438105487665646
150,bistable 6SD,1.4,0.7333333333333333,0.26666666666666666,1.7333333333333334,0.7333333333333333,0.17155178407942184,1.7546271149377244,1.0999364676382442,0.7955270864858642
150,bistable 6SD,1.8,0.26666666666666666,0.7333333333333333,1.2666666666666666,0.2833333333333333,0.06251518257460001,1.969858146682422,0.9334078812603956,0.9465887107268179
150,"deep well 6SD (k=1, new)",1.0,0.16666666666666666,0.8333333333333334,1.1666666666666667,0.16666666666666666,0.3447121447577874,1.4401962603861769,0.3631779024128256,0.7546994102938304
150,"deep well 6SD (k=1, new)",1.4,0.06666666666666667,0.9333333333333333,1.0666666666666667,0.06666666666666667,0.341250271436072,1.8594573022008478,0.35654732351381263,0.8752373473625185
150,"deep well 6SD (k=1, new)",1.8,0.11666666666666667,0.8833333333333333,1.1166666666666667,0.11666666666666667,0.08165642847959417,2.147716560624066,0.36991128507179405,0.983254046145934
150,monostable,1.0,0.26666666666666666,0.7333333333333333,1.2833333333333334,0.2833333333333333,0.028076106097785592,1.7460031917429706,0.8973376581028523,0.8266960072445143
150,monostable,1.4,0.05,0.95,1.05,0.06666666666666667,0.13114261829991897,2.188162848221303,0.8750612633917001,1.0656116505238105
150,monostable,1.8,0.016666666666666666,0.9833333333333333,1.0166666666666666,0.016666666666666666,0.01879085943497069,2.191947974413163,0.8750612633917001,1.2141617100077235
150,"polarized (bimodal, monostable)",1.0,0.016666666666666666,0.9833333333333333,1.0166666666666666,0.016666666666666666,0.22577881395485067,1.6765813053852499,0.853871964321762,0.7075855905107862
150,"polarized (bimodal, monostable)",1.4,0.0,1.0,1.0,0.0,,,0.9334078812603956,0.8060594159892586
150,"polarized (bimodal, monostable)",1.8,0.0,1.0,1.0,0.0,,,0.8973376581028523,0.9085598547402367
